Drawn_Cards,Dealer_Up,Num_of_Hits,Seat_At_Table,Did_YOU_Win
"['4 of Hearts', '3 of Clubs', '7 of Spades', '4 of Spades', '6 of Diamonds', '5 of Hearts', '7 of Diamonds', 'Jack of Diamonds', '7 of Hearts', 'Queen of Clubs', '10 of Hearts']",4 of Hearts,4,0,0
"['4 of Hearts', '3 of Clubs', '7 of Spades', '4 of Spades', '6 of Diamonds', '5 of Hearts', '7 of Diamonds', 'Jack of Diamonds', '7 of Hearts', 'Queen of Clubs', '10 of Hearts', '2 of Diamonds', '2 of Spades', 'Ace of Clubs', 'Jack of Spades']",4 of Hearts,1,1,0
"['4 of Hearts', '3 of Clubs', '7 of Spades', '4 of Spades', '6 of Diamonds', '5 of Hearts', '7 of Diamonds', 'Jack of Diamonds', '7 of Hearts', 'Queen of Clubs', '10 of Hearts', '2 of Diamonds', '2 of Spades', 'Ace of Clubs', 'Jack of Spades', '4 of Diamonds']",4 of Hearts,0,2,0
"['4 of Hearts', '3 of Clubs', '7 of Spades', '4 of Spades', '6 of Diamonds', '5 of Hearts', '7 of Diamonds', 'Jack of Diamonds', '7 of Hearts', 'Queen of Clubs', '10 of Hearts', '2 of Diamonds', '2 of Spades', 'Ace of Clubs', 'Jack of Spades', '4 of Diamonds']",4 of Hearts,0,3,0
"['4 of Hearts', '3 of Clubs', '7 of Spades', '4 of Spades', '6 of Diamonds', '5 of Hearts', '7 of Diamonds', 'Jack of Diamonds', '7 of Hearts', 'Queen of Clubs', '10 of Hearts', '2 of Diamonds', '2 of Spades', 'Ace of Clubs', 'Jack of Spades', '4 of Diamonds']",4 of Hearts,0,4,0
"['3 of Diamonds', '9 of Diamonds', '10 of Diamonds', '8 of Diamonds', '5 of Spades', 'King of Diamonds', 'Ace of Spades', 'Queen of Clubs', '7 of Clubs', '7 of Hearts', '6 of Hearts']",3 of Diamonds,0,0,0
"['3 of Diamonds', '9 of Diamonds', '10 of Diamonds', '8 of Diamonds', '5 of Spades', 'King of Diamonds', 'Ace of Spades', 'Queen of Clubs', '7 of Clubs', '7 of Hearts', '6 of Hearts']",3 of Diamonds,0,1,0
"['3 of Diamonds', '9 of Diamonds', '10 of Diamonds', '8 of Diamonds', '5 of Spades', 'King of Diamonds', 'Ace of Spades', 'Queen of Clubs', '7 of Clubs', '7 of Hearts', '6 of Hearts']",3 of Diamonds,0,2,0
"['3 of Diamonds', '9 of Diamonds', '10 of Diamonds', '8 of Diamonds', '5 of Spades', 'King of Diamonds', 'Ace of Spades', 'Queen of Clubs', '7 of Clubs', '7 of Hearts', '6 of Hearts']",3 of Diamonds,0,3,0
"['3 of Diamonds', '9 of Diamonds', '10 of Diamonds', '8 of Diamonds', '5 of Spades', 'King of Diamonds', 'Ace of Spades', 'Queen of Clubs', '7 of Clubs', '7 of Hearts', '6 of Hearts']",3 of Diamonds,0,4,0
