Dealer Up,Drawn Cards,Num of Hits,Your End Total,Dealer's Face Down,Dealer Drawn Cards,Dealer Num Hits,Dealer End Total,Did YOU Win
6 of Spades,"['6 of Spades', '7 of Clubs', '4 of Spades', '7 of Hearts', 'Jack of Hearts', 'Jack of Clubs', '4 of Hearts', '5 of Diamonds', '8 of Spades', 'King of Clubs', '5 of Clubs']",1,19,Queen of Diamonds,"['2 of Spades', 'King of Diamonds']",2,18,True
6 of Spades,"['6 of Spades', '7 of Clubs', '4 of Spades', '7 of Hearts', 'Jack of Hearts', 'Jack of Clubs', '4 of Hearts', '5 of Diamonds', '8 of Spades', 'King of Clubs', '5 of Clubs', '8 of Hearts']",0,17,Queen of Diamonds,"['2 of Spades', 'King of Diamonds']",2,18,False
6 of Spades,"['6 of Spades', '7 of Clubs', '4 of Spades', '7 of Hearts', 'Jack of Hearts', 'Jack of Clubs', '4 of Hearts', '5 of Diamonds', '8 of Spades', 'King of Clubs', '5 of Clubs', '8 of Hearts']",0,14,Queen of Diamonds,"['2 of Spades', 'King of Diamonds']",2,18,False
6 of Spades,"['6 of Spades', '7 of Clubs', '4 of Spades', '7 of Hearts', 'Jack of Hearts', 'Jack of Clubs', '4 of Hearts', '5 of Diamonds', '8 of Spades', 'King of Clubs', '5 of Clubs', '8 of Hearts']",1,23,Queen of Diamonds,"['2 of Spades', 'King of Diamonds']",2,18,False
6 of Spades,"['6 of Spades', '7 of Clubs', '4 of Spades', '7 of Hearts', 'Jack of Hearts', 'Jack of Clubs', '4 of Hearts', '5 of Diamonds', '8 of Spades', 'King of Clubs', '5 of Clubs', '8 of Hearts', 'Queen of Hearts']",0,15,Queen of Diamonds,"['2 of Spades', 'King of Diamonds']",2,18,False
Jack of Diamonds,"['Jack of Diamonds', '7 of Hearts', '10 of Spades', 'Ace of Spades', '3 of Diamonds', 'King of Spades', '9 of Spades', '10 of Hearts', 'Ace of Clubs', '10 of Diamonds', '3 of Clubs']",1,17,7 of Clubs,"['6 of Clubs', 'Queen of Spades']",2,26,True
Jack of Diamonds,"['Jack of Diamonds', '7 of Hearts', '10 of Spades', 'Ace of Spades', '3 of Diamonds', 'King of Spades', '9 of Spades', '10 of Hearts', 'Ace of Clubs', '10 of Diamonds', '3 of Clubs']",3,25,7 of Clubs,"['6 of Clubs', 'Queen of Spades']",2,26,False
Jack of Diamonds,"['Jack of Diamonds', '7 of Hearts', '10 of Spades', 'Ace of Spades', '3 of Diamonds', 'King of Spades', '9 of Spades', '10 of Hearts', 'Ace of Clubs', '10 of Diamonds', '3 of Clubs', '9 of Hearts', '2 of Spades', 'Queen of Clubs']",0,19,7 of Clubs,"['6 of Clubs', 'Queen of Spades']",2,26,True
Jack of Diamonds,"['Jack of Diamonds', '7 of Hearts', '10 of Spades', 'Ace of Spades', '3 of Diamonds', 'King of Spades', '9 of Spades', '10 of Hearts', 'Ace of Clubs', '10 of Diamonds', '3 of Clubs', '9 of Hearts', '2 of Spades', 'Queen of Clubs']",1,11,7 of Clubs,"['6 of Clubs', 'Queen of Spades']",2,26,True
Jack of Diamonds,"['Jack of Diamonds', '7 of Hearts', '10 of Spades', 'Ace of Spades', '3 of Diamonds', 'King of Spades', '9 of Spades', '10 of Hearts', 'Ace of Clubs', '10 of Diamonds', '3 of Clubs', '9 of Hearts', '2 of Spades', 'Queen of Clubs']",0,13,7 of Clubs,"['6 of Clubs', 'Queen of Spades']",2,26,True
10 of Diamonds,"['10 of Diamonds', '4 of Hearts', '4 of Spades', 'Jack of Clubs', 'Ace of Spades', '10 of Spades', 'Queen of Clubs', '9 of Spades', '6 of Spades', 'Ace of Clubs', '2 of Clubs']",6,24,King of Clubs,"['6 of Clubs', '5 of Clubs']",2,21,False
10 of Diamonds,"['10 of Diamonds', '4 of Hearts', '4 of Spades', 'Jack of Clubs', 'Ace of Spades', '10 of Spades', 'Queen of Clubs', '9 of Spades', '6 of Spades', 'Ace of Clubs', '2 of Clubs', '10 of Clubs', 'King of Spades', '6 of Hearts', '2 of Hearts', '7 of Clubs']",5,20,King of Clubs,"['6 of Clubs', '5 of Clubs']",2,21,False
10 of Diamonds,"['10 of Diamonds', '4 of Hearts', '4 of Spades', 'Jack of Clubs', 'Ace of Spades', '10 of Spades', 'Queen of Clubs', '9 of Spades', '6 of Spades', 'Ace of Clubs', '2 of Clubs', '10 of Clubs', 'King of Spades', '6 of Hearts', '2 of Hearts', '7 of Clubs', 'Ace of Diamonds', '8 of Hearts']",0,20,King of Clubs,"['6 of Clubs', '5 of Clubs']",2,21,False
