Dealer_Up,Drawn_Cards,Num_of_Hits,Did_YOU_Win
10 of Clubs,"['10 of Clubs', '6 of Hearts', '4 of Clubs', '2 of Clubs', 'Queen of Hearts', '3 of Clubs', '2 of Hearts', 'Jack of Clubs', '7 of Diamonds', 'Queen of Diamonds', '4 of Diamonds']",1,1
10 of Clubs,"['10 of Clubs', '6 of Hearts', '4 of Clubs', '2 of Clubs', 'Queen of Hearts', '3 of Clubs', '2 of Hearts', 'Jack of Clubs', '7 of Diamonds', 'Queen of Diamonds', '4 of Diamonds', '9 of Hearts']",1,1
10 of Clubs,"['10 of Clubs', '6 of Hearts', '4 of Clubs', '2 of Clubs', 'Queen of Hearts', '3 of Clubs', '2 of Hearts', 'Jack of Clubs', '7 of Diamonds', 'Queen of Diamonds', '4 of Diamonds', '9 of Hearts', '9 of Diamonds']",0,1
10 of Clubs,"['10 of Clubs', '6 of Hearts', '4 of Clubs', '2 of Clubs', 'Queen of Hearts', '3 of Clubs', '2 of Hearts', 'Jack of Clubs', '7 of Diamonds', 'Queen of Diamonds', '4 of Diamonds', '9 of Hearts', '9 of Diamonds']",0,1
10 of Clubs,"['10 of Clubs', '6 of Hearts', '4 of Clubs', '2 of Clubs', 'Queen of Hearts', '3 of Clubs', '2 of Hearts', 'Jack of Clubs', '7 of Diamonds', 'Queen of Diamonds', '4 of Diamonds', '9 of Hearts', '9 of Diamonds']",0,1
9 of Hearts,"['9 of Hearts', '7 of Clubs', '4 of Clubs', '10 of Hearts', 'Jack of Hearts', '7 of Diamonds', 'Queen of Clubs', '3 of Diamonds', '6 of Hearts', '7 of Spades', '3 of Hearts']",2,0
9 of Hearts,"['9 of Hearts', '7 of Clubs', '4 of Clubs', '10 of Hearts', 'Jack of Hearts', '7 of Diamonds', 'Queen of Clubs', '3 of Diamonds', '6 of Hearts', '7 of Spades', '3 of Hearts', '7 of Hearts']",1,1
9 of Hearts,"['9 of Hearts', '7 of Clubs', '4 of Clubs', '10 of Hearts', 'Jack of Hearts', '7 of Diamonds', 'Queen of Clubs', '3 of Diamonds', '6 of Hearts', '7 of Spades', '3 of Hearts', '7 of Hearts']",0,0
9 of Hearts,"['9 of Hearts', '7 of Clubs', '4 of Clubs', '10 of Hearts', 'Jack of Hearts', '7 of Diamonds', 'Queen of Clubs', '3 of Diamonds', '6 of Hearts', '7 of Spades', '3 of Hearts', '7 of Hearts']",1,0
9 of Hearts,"['9 of Hearts', '7 of Clubs', '4 of Clubs', '10 of Hearts', 'Jack of Hearts', '7 of Diamonds', 'Queen of Clubs', '3 of Diamonds', '6 of Hearts', '7 of Spades', '3 of Hearts', '7 of Hearts', 'Jack of Clubs']",0,0
6 of Hearts,"['6 of Hearts', 'King of Clubs', '9 of Spades', 'King of Diamonds', 'Queen of Hearts', '3 of Clubs', '4 of Diamonds', '2 of Spades', '6 of Clubs', '4 of Clubs', '3 of Diamonds']",2,1
6 of Hearts,"['6 of Hearts', 'King of Clubs', '9 of Spades', 'King of Diamonds', 'Queen of Hearts', '3 of Clubs', '4 of Diamonds', '2 of Spades', '6 of Clubs', '4 of Clubs', '3 of Diamonds']",1,1
6 of Hearts,"['6 of Hearts', 'King of Clubs', '9 of Spades', 'King of Diamonds', 'Queen of Hearts', '3 of Clubs', '4 of Diamonds', '2 of Spades', '6 of Clubs', '4 of Clubs', '3 of Diamonds']",0,1
6 of Hearts,"['6 of Hearts', 'King of Clubs', '9 of Spades', 'King of Diamonds', 'Queen of Hearts', '3 of Clubs', '4 of Diamonds', '2 of Spades', '6 of Clubs', '4 of Clubs', '3 of Diamonds']",3,0
6 of Hearts,"['6 of Hearts', 'King of Clubs', '9 of Spades', 'King of Diamonds', 'Queen of Hearts', '3 of Clubs', '4 of Diamonds', '2 of Spades', '6 of Clubs', '4 of Clubs', '3 of Diamonds', '7 of Clubs', '7 of Spades']",0,1
4 of Clubs,"['4 of Clubs', '8 of Clubs', '4 of Spades', 'Jack of Spades', '2 of Spades', 'Queen of Clubs', 'King of Clubs', '5 of Diamonds', '6 of Hearts', '4 of Hearts', '2 of Hearts']",3,0
4 of Clubs,"['4 of Clubs', '8 of Clubs', '4 of Spades', 'Jack of Spades', '2 of Spades', 'Queen of Clubs', 'King of Clubs', '5 of Diamonds', '6 of Hearts', '4 of Hearts', '2 of Hearts', '5 of Clubs']",1,0
4 of Clubs,"['4 of Clubs', '8 of Clubs', '4 of Spades', 'Jack of Spades', '2 of Spades', 'Queen of Clubs', 'King of Clubs', '5 of Diamonds', '6 of Hearts', '4 of Hearts', '2 of Hearts', '5 of Clubs']",0,0
4 of Clubs,"['4 of Clubs', '8 of Clubs', '4 of Spades', 'Jack of Spades', '2 of Spades', 'Queen of Clubs', 'King of Clubs', '5 of Diamonds', '6 of Hearts', '4 of Hearts', '2 of Hearts', '5 of Clubs']",3,0
4 of Clubs,"['4 of Clubs', '8 of Clubs', '4 of Spades', 'Jack of Spades', '2 of Spades', 'Queen of Clubs', 'King of Clubs', '5 of Diamonds', '6 of Hearts', '4 of Hearts', '2 of Hearts', '5 of Clubs']",0,0
8 of Spades,"['8 of Spades', 'Ace of Hearts', '4 of Clubs', '10 of Diamonds', '2 of Clubs', '7 of Clubs', '9 of Diamonds', 'Jack of Clubs', '3 of Spades', '2 of Spades', 'King of Clubs']",5,1
